Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$2,205.45 "
,501,40,,
,502,38,,
,503,29,,
,504,27,,
,505,5,,
,506,14,,
,507,20,,
,508,18,,
,509,52,,
,510,37,,
,511,18,,
,512,12,,
,513,82,,
,514,47,,
,515,16,,
,516,18,,
,517,37,,
,518,51,,
,519,23,,
,,,,
Monday,Item,Quantity,Total,"$2,287.30 "
,501,35,,
,502,29,,
,503,42,,
,504,34,,
,505,9,,
,506,19,,
,507,28,,
,508,18,,
,509,37,,
,510,14,,
,511,15,,
,512,24,,
,513,103,,
,514,56,,
,515,32,,
,516,18,,
,517,24,,
,518,47,,
,519,20,,
,,,,
Tuesday,Item,Quantity,Total,"$2,178.90 "
,501,42,,
,502,23,,
,503,51,,
,504,35,,
,505,17,,
,506,7,,
,507,31,,
,508,25,,
,509,51,,
,510,31,,
,511,11,,
,512,12,,
,513,99,,
,514,41,,
,515,27,,
,516,28,,
,517,47,,
,518,41,,
,519,34,,
,,,,
Wednesday,Item,Quantity,Total,"$2,566.50 "
,501,34,,
,502,42,,
,503,35,,
,504,32,,
,505,14,,
,506,15,,
,507,42,,
,508,25,,
,509,61,,
,510,24,,
,511,18,,
,512,12,,
,513,65,,
,514,56,,
,515,54,,
,516,22,,
,517,52,,
,518,46,,
,519,25,,
,,,,
Thursday,Item,Quantity,Total,"$2,615.55 "
,501,61,,
,502,40,,
,503,47,,
,504,43,,
,505,8,,
,506,7,,
,507,52,,
,508,23,,
,509,46,,
,510,38,,
,511,19,,
,512,21,,
,513,78,,
,514,71,,
,515,41,,
,516,17,,
,517,56,,
,518,58,,
,519,35,,
,,,,
Friday,Item,Quantity,Total,"$2,780.50 "
,501,40,,
,502,62,,
,503,34,,
,504,41,,
,505,31,,
,506,17,,
,507,21,,
,508,18,,
,509,44,,
,510,48,,
,511,17,,
,512,21,,
,513,150,,
,514,51,,
,515,37,,
,516,25,,
,517,31,,
,518,76,,
,519,51,,
,,,,
Saturday,Item,Quantity,Total,"$9,083.75 "
,501,174,,
,502,106,,
,503,134,,
,504,108,,
,505,65,,
,506,62,,
,507,89,,
,508,89,,
,509,197,,
,510,121,,
,511,54,,
,512,23,,
,513,420,,
,514,213,,
,515,112,,
,516,76,,
,517,128,,
,518,187,,
,519,121,,
