Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,728.35 "
,501,20,,
,502,30,,
,503,21,,
,504,23,,
,505,2,,
,506,9,,
,507,24,,
,508,12,,
,509,49,,
,510,30,,
,511,15,,
,512,8,,
,513,86,,
,514,50,,
,515,15,,
,516,15,,
,517,40,,
,518,48,,
,519,20,,
,,,,
Monday,Item,Quantity,Total,"$1,574.00 "
,501,28,,
,502,23,,
,503,20,,
,504,30,,
,505,5,,
,506,1,,
,507,33,,
,508,18,,
,509,52,,
,510,23,,
,511,8,,
,512,15,,
,513,110,,
,514,42,,
,515,21,,
,516,7,,
,517,38,,
,518,56,,
,519,21,,
,,,,
Tuesday,Item,Quantity,Total,"$2,426.75 "
,501,35,,
,502,40,,
,503,40,,
,504,30,,
,505,15,,
,506,12,,
,507,35,,
,508,22,,
,509,55,,
,510,35,,
,511,16,,
,512,15,,
,513,75,,
,514,60,,
,515,30,,
,516,20,,
,517,40,,
,518,60,,
,519,35,,
,,,,
Wednesday,Item,Quantity,Total,"$2,144.95 "
,501,31,,
,502,33,,
,503,31,,
,504,29,,
,505,8,,
,506,12,,
,507,35,,
,508,17,,
,509,47,,
,510,17,,
,511,15,,
,512,12,,
,513,87,,
,514,77,,
,515,36,,
,516,24,,
,517,48,,
,518,45,,
,519,23,,
,,,,
Thursday,Item,Quantity,Total,"$2,237.45 "
,501,56,,
,502,36,,
,503,46,,
,504,45,,
,505,4,,
,506,0,,
,507,48,,
,508,15,,
,509,55,,
,510,37,,
,511,18,,
,512,3,,
,513,97,,
,514,67,,
,515,28,,
,516,15,,
,517,64,,
,518,70,,
,519,34,,
,,,,
Friday,Item,Quantity,Total,"$2,495.60 "
,501,37,,
,502,60,,
,503,29,,
,504,28,,
,505,23,,
,506,11,,
,507,32,,
,508,26,,
,509,56,,
,510,41,,
,511,6,,
,512,3,,
,513,111,,
,514,63,,
,515,25,,
,516,12,,
,517,42,,
,518,85,,
,519,48,,
,,,,
Saturday,Item,Quantity,Total,"$8,090.85 "
,501,147,,
,502,160,,
,503,143,,
,504,98,,
,505,56,,
,506,40,,
,507,98,,
,508,67,,
,509,179,,
,510,112,,
,511,31,,
,512,20,,
,513,351,,
,514,190,,
,515,97,,
,516,52,,
,517,151,,
,518,210,,
,519,98,,
