Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$2,078.90 "
,501,34,,
,502,30,,
,503,35,,
,504,24,,
,505,13,,
,506,7,,
,507,40,,
,508,12,,
,509,52,,
,510,12,,
,511,20,,
,512,17,,
,513,94,,
,514,84,,
,515,41,,
,516,19,,
,517,51,,
,518,41,,
,519,20,,
,,,,
Monday,Item,Quantity,Total,"$1,615.30 "
,501,25,,
,502,26,,
,503,17,,
,504,33,,
,505,2,,
,506,4,,
,507,30,,
,508,15,,
,509,53,,
,510,20,,
,511,11,,
,512,12,,
,513,113,,
,514,39,,
,515,24,,
,516,4,,
,517,41,,
,518,53,,
,519,24,,
,,,,
Tuesday,Item,Quantity,Total,"$2,402.20 "
,501,39,,
,502,39,,
,503,45,,
,504,28,,
,505,32,,
,506,7,,
,507,40,,
,508,17,,
,509,62,,
,510,31,,
,511,15,,
,512,14,,
,513,77,,
,514,69,,
,515,34,,
,516,23,,
,517,38,,
,518,42,,
,519,31,,
,,,,
Wednesday,Item,Quantity,Total,"$1,647.15 "
,501,18,,
,502,32,,
,503,19,,
,504,25,,
,505,4,,
,506,7,,
,507,26,,
,508,10,,
,509,47,,
,510,28,,
,511,13,,
,512,10,,
,513,84,,
,514,52,,
,515,13,,
,516,17,,
,517,38,,
,518,50,,
,519,18,,
,,,,
Thursday,Item,Quantity,Total,"$2,443.65 "
,501,50,,
,502,42,,
,503,52,,
,504,39,,
,505,10,,
,506,6,,
,507,42,,
,508,21,,
,509,49,,
,510,31,,
,511,24,,
,512,9,,
,513,89,,
,514,73,,
,515,22,,
,516,21,,
,517,58,,
,518,76,,
,519,28,,
,,,,
Friday,Item,Quantity,Total,"$2,543.40 "
,501,31,,
,502,54,,
,503,22,,
,504,35,,
,505,16,,
,506,18,,
,507,25,,
,508,19,,
,509,49,,
,510,48,,
,511,13,,
,512,10,,
,513,104,,
,514,57,,
,515,32,,
,516,19,,
,517,35,,
,518,78,,
,519,41,,
,,,,
Saturday,Item,Quantity,Total,"$3,508.80 "
,501,55,,
,502,62,,
,503,51,,
,504,52,,
,505,32,,
,506,12,,
,507,45,,
,508,34,,
,509,89,,
,510,45,,
,511,21,,
,512,18,,
,513,118,,
,514,103,,
,515,52,,
,516,30,,
,517,64,,
,518,97,,
,519,63,,
